bridge_id,bridge_number,bridge_name,host_link_id,road_link_name,road_class,region,station,corrected_longitude,corrected_latitude,chainage_from_start_of_road_km,missing_attribute_count,missing_attributes,safe_attribute_defaults_applied,legacy_backfill_field_count,legacy_backfill_sources,location_audit_status
bridge-118,B094,Aturukuru,C832_Link01,Tororo-Nagongera,C,Eastern,Tororo,34.162274,0.701974,2.3,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 119; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 73; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 73; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 73,Placed on exact national road host link
bridge-119,B095,Pakamu,C832_Link01,Tororo-Nagongera,C,Eastern,Tororo,33.928153,0.847531,33.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 120; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 74; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 74; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 74,Placed on exact national road host link
bridge-120,B096,Mahanga,C832_Link01,Tororo-Nagongera,C,Eastern,Tororo,33.928153,0.847531,33.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 121; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 75; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 75; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 75; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 75,Placed on exact national road host link
bridge-121,B097,Nakulumutu,C833_Link01,Nabumali junction-Busolwe,C,Eastern,Tororo,33.92727,0.850405,34.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 122,Placed on exact national road host link
bridge-122,B098,Nkola,C833_Link01,Nabumali junction-Busolwe,C,Eastern,Tororo,33.92727,0.850405,34.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 123; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 76; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 76; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 76,Placed on exact national road host link
bridge-123,B099,Nakwazi,C833_Link01,Nabumali junction-Busolwe,C,Eastern,Tororo,33.92727,0.850405,34.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 124; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 77; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 77; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 77; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 77,Placed on exact national road host link
bridge-124,B100,Budumbba,C833_Link02,Busolwe-Budumba,C,Eastern,Tororo,33.915277,0.844362,36,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 125; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 78; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 78; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 78; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 78,Placed on exact national road host link
bridge-125,B101,Miwu,C861_Link01,Nalugugu-Mutufu-Budadiri,C,Eastern,Mbale,34.369628,1.151285,16.2,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 126,Placed on exact national road host link
bridge-126,B102,Sironko,C861_Link01,Nalugugu-Mutufu-Budadiri,C,Eastern,Mbale,34.368106,1.152151,16,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 127; river: Historical Bridges 18062025.xlsx::Bridges row 93; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 80; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 80; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 80,Placed on exact national road host link
bridge-127,B103,Kado,C862_Link01,Namagumba - Budadiri,C,Eastern,Mbale,34.335592,1.170617,18.4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 128; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 81; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 81; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 81,Placed on exact national road host link
bridge-128,B104,Sonoli,C862_Link01,Namagumba - Budadiri,C,Eastern,Mbale,34.335592,1.170617,18.4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 129; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 82; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 82; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 82,Placed on exact national road host link
bridge-129,B105,Namatsu,C863_Link01,Mbale - Nkokonjeru,C,Eastern,Mbale,34.227246,1.038862,21,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 130; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 83; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 83; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 83; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 83,Placed on exact national road host link
bridge-130,B106,Kigezi,C863_Link01,Mbale - Nkokonjeru,C,Eastern,Mbale,34.227246,1.038862,21,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 131; river: Historical Bridges 18062025.xlsx::Bridges row 97; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 84; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 84; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 84,Placed on exact national road host link
bridge-131,B107,Namikhoma,C866_Link01,Munamba - Lwakhakha,C,Eastern,Tororo,34.378671,0.794757,4.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 132; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 85; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 85; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 85; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 85,Placed on exact national road host link
bridge-132,B108,Pasa,C867_Link02,Bubulo-Bududa Circle road,C,Eastern,Mbale,34.326436,1.032512,28.4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 133; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 86; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 86; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 86,Placed on exact national road host link
bridge-133,B109,Tsutsu,C867_Link02,Bubulo-Bududa Circle road,C,Eastern,Mbale,34.326436,1.032512,28.4,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 134; year_compl: Historical Bridges 18062025.xlsx::Bridges row 100; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 87; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 87; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 87,Placed on exact national road host link
bridge-134,B110,Manafa,C867_Link02,Bubulo-Bududa Circle road,C,Eastern,Mbale,34.366937,1.010453,39.625,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,32,comment: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 10 latest 2008-11-05; owner: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; district_council: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; flow: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; town_left: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; town_right: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; abutment_l: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; abutment_r: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_abutment_l: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_abutment_r: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_piers: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_para_rail: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_wearing_surface: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_exp_joints: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; approach_slab: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; abutment_gallery: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; type_bearings: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; no_of_span: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; no_of_pier: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; no_of_exp_joints: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; superload_route: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; weight_load_restr: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; scour_protection: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; scour_risk: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; bridge_len: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; bridge_wid: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; width_between_para_rail: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; min_bridge_roadway_width: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; approach_roadway_width: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; no_of_lane: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; traffic_flow_directions: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 98; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-135,B111,Manafwa,C867_Link02,Bubulo-Bududa Circle road,C,Eastern,Mbale,34.361333,1.003988,40.605,10,Crossing Feature / River Name; Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,33,comment: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 11 latest 2008-11-06; km: Historical Bridges 18062025.xlsx::Bridges row 101; no_of_span: Historical Bridges 18062025.xlsx::Bridges row 101; no_of_pier: Historical Bridges 18062025.xlsx::Bridges row 101; no_of_exp_joints: Historical Bridges 18062025.xlsx::Bridges row 101; no_of_lane: Historical Bridges 18062025.xlsx::Bridges row 101; owner: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; district_council: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; flow: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; town_left: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; town_right: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; abutment_l: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; abutment_r: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_abutment_l: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_abutment_r: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_piers: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_para_rail: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_wearing_surface: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_exp_joints: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; approach_slab: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; abutment_gallery: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; type_bearings: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; superload_route: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; weight_load_restr: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; scour_protection: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; scour_risk: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; bridge_len: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; bridge_wid: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; width_between_para_rail: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; min_bridge_roadway_width: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; approach_roadway_width: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; traffic_flow_directions: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 113; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-136,B112,Manafa,C870_Link01,Bubulo-Busumbu,C,Eastern,Mbale,34.282917,0.835691,15.6,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 137; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 88; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 88; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 88,Placed on exact national road host link
bridge-137,B113,Namunyiri,C870_Link02,Busumbu - Munamba,C,Eastern,Tororo,34.285518,0.833619,16,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,4,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 138; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 89; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 89; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 89,Placed on exact national road host link
bridge-138,B114,Mbigi,C871_Link01,Simu corner - Kaserem,C,Eastern,Mbale,34.338265,1.319924,9.8,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 139; abutment_l: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 90; abutment_r: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 90; remarks: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 90; _historical_bms_2019_20: List of bridges and culverts from BMS database 2019-20.xlsx::Bridges row 90,Placed on exact national road host link
bridge-139,B115,Kumi,C920_Link01,Kumi-Brooks corner,C,North Eastern,Soroti,33.55097,1.500244,45.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 140,Placed on exact national road host link
bridge-140,B116,Abuket,C920_Link01,Kumi-Brooks corner,C,North Eastern,Soroti,33.55097,1.500244,45.5,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 141,Placed on exact national road host link
bridge-141,B117,Tochi Bridge,A006_Link11,Minakulu - Bobi - Gulu,A,Northern,Gulu,32.366309,2.504555,297.383,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 142,Placed on exact national road host link
bridge-142,B118,Unyama,A006_Link13,Atiak - Nimule(Uganda/Sudan border),A,Northern,Gulu,32.072588,3.56966,433.456,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,30,approaches_rating: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 143; km: Historical Bridges 18062025.xlsx::Bridges row 108; river: Historical Bridges 18062025.xlsx::Bridges row 108; no_of_span: Historical Bridges 18062025.xlsx::Bridges row 108; no_of_pier: Historical Bridges 18062025.xlsx::Bridges row 108; no_of_exp_joints: Historical Bridges 18062025.xlsx::Bridges row 108; no_of_lane: Historical Bridges 18062025.xlsx::Bridges row 108; owner: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; district_council: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; flow: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; town_left: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; town_right: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; abutment_l: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; abutment_r: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; type_para_rail: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; type_wearing_surface: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; type_exp_joints: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; approach_slab: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; abutment_gallery: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; type_bearings: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; superload_route: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; weight_load_restr: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; scour_protection: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; scour_risk: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; traffic_flow_directions: BMS_Data2015_UNRA_Capture111.mdb::tblB_Bridge row 119; waterway_rating: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 12 latest 2008-11-30; substructure_rating: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 12 latest 2008-11-30; superstructure_rating: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 12 latest 2008-11-30; roadway_rating: BMS_Data2015_UNRA_Capture111.mdb::tblI_Inspec row 12 latest 2008-11-30; _mdb_2015_capture: BMS_Data2015_UNRA_Capture111.mdb,Placed on exact national road host link
bridge-143,B119,Enyau Bridge,A008_Link06,Manibe - Maracha - Koboko,A,Northern,Arua,30.906898,3.089331,246.399,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 144,Placed on exact national road host link
bridge-144,B120,Enve Bridge,A008_Link07,Koboko - Oraba(Uganda/Sudan border),A,Northern,Arua,30.910303,3.510532,306.372,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,5,new_bridge_no: Historical Hosea bridge workbook::bridges_hosea row 30; abutment_l: Historical Hosea bridge workbook::bridges_hosea row 30; abutment_r: Historical Hosea bridge workbook::bridges_hosea row 30; year_compl: Historical Hosea bridge workbook::bridges_hosea row 30; comment: Historical Hosea bridge workbook::bridges_hosea row 30,Placed on exact national road host link
bridge-145,B724,Enve,A008_Link06,Manibe - Maracha - Koboko,A,Northern,Arua,30.905202,3.148989,253.8,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,34,km: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; river: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; owner: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; district_council: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; flow: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; town_left: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; town_right: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_bridge: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_deck: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_deck_material: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_abutment_l: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_abutment_r: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_piers: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_para_rail: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_wearing_surface: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_exp_joints: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; approach_slab: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; abutment_gallery: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; type_bearings: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; no_of_span: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; no_of_pier: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; no_of_exp_joints: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; superload_route: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; weight_load_restr: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; scour_protection: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; scour_risk: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; bridge_len: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; bridge_wid: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; width_between_para_rail: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; min_bridge_roadway_width: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; approach_roadway_width: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; no_of_lane: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; traffic_flow_directions: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145; comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 145,Placed on exact national road host link
bridge-146,B121,Oluffe,A008_Link06,Manibe - Maracha - Koboko,A,Northern,Arua,30.933391,3.185571,260,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 147,Placed on exact national road host link
bridge-147,B122,Ayi Bridge,A008_Link06,Manibe - Maracha - Koboko,A,Northern,Arua,30.942211,3.249016,270.299,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 148,Placed on exact national road host link
bridge-148,B123,Yoo,A008_Link06,Manibe - Maracha - Koboko,A,Northern,Arua,30.942173,3.320805,280.6,9,Abutment Type; Parapet / Railing Type; Wearing Surface Type; Expansion Joint Type; Number Of Spans; Number Of Piers; Number Of Expansion Joints; Bridge Length; Bridge Width,,1,comment: Historical BMS tblB_Bridge2-new.xlsx::tblB-Bridge2 row 149,Placed on exact national road host link
